Start Position,End Position
1,[]
2,[3]
3,[17]
4,[4]
5,[]
6,"[12, 6]"
7,[14]
8,"[12, 4, 5, 13, 8, 5, 19, 4, 9]"
9,"[9, 7, 7, 17]"
10,"[11, 17, 10, 8, 10]"
11,"[10, 6, 8, 7, 15, 14, 10, 10, 21, 10]"
12,"[9, 7, 12, 18, 6, 8]"
13,"[5, 22, 12, 20, 12, 8, 11, 12, 15, 15]"
14,"[15, 6, 20, 19, 21, 13, 14, 20, 15]"
15,"[13, 16, 17, 8, 17, 6, 12, 9, 12, 18]"
16,"[19, 9, 10, 21, 16, 12, 12]"
17,"[18, 16, 10, 12, 15, 9, 17, 18]"
18,"[14, 18, 12, 16, 17]"
19,"[19, 20, 13, 15, 17, 14, 16, 17, 18, 16, 15, 19, 16]"
20,"[16, 14, 12, 19, 20, 7, 19, 18, 20, 18, 18, 18, 15, 16]"
21,"[21, 13, 16, 18, 16, 18, 20, 14]"
22,"[16, 11, 13, 21]"
