Start Position,End Position
1,[]
2,[2]
3,"[8, 1, 5, 1, 2]"
4,"[1, 19]"
5,"[8, 8, 5, 10, 7, 10, 6, 6, 2]"
6,"[7, 7, 13, 5, 5, 19, 5, 6, 6, 5, 5]"
7,"[8, 8, 7, 6, 7, 8, 18, 4, 19, 11, 4, 12, 7, 12, 5, 19, 5]"
8,"[13, 8, 5, 7, 15, 10, 9, 11, 18, 4, 9, 4, 3, 7]"
9,"[18, 6, 9, 8, 4, 6, 7, 11, 6, 5, 8, 17, 19]"
10,"[16, 9, 19, 10, 5, 15, 16, 3, 10, 4, 6, 4, 5]"
11,"[11, 12, 17, 11, 6, 16, 6, 5, 10, 4, 9]"
12,"[15, 16, 6, 18, 7, 7, 12, 5]"
13,"[19, 18, 9, 9, 5]"
14,"[12, 8, 19, 16, 9, 18, 13]"
15,"[7, 7, 13, 14, 5, 7, 13, 11, 18, 4, 4, 3, 7]"
16,"[10, 15, 16]"
17,[10]
18,"[20, 19]"
19,"[19, 10, 7, 7]"
20,"[9, 15, 6, 8, 2]"
21,[17]
