Start Position,End Position
1,"[1, 0, 16]"
2,"[1, 3, 1, 3, 6, 1, 0]"
3,"[2, 2, 2, 9, 3, 2, 1, 2, 4, 1, 2]"
4,"[0, 9, 4, 2, 6, 3, 0, 5, 2, 4, 2, 2, 17, 19, 19, 16, 17, 5, 3, 3]"
5,"[7, 15, 7, 5, 0, 2, 17, 4, 5, 3, 10, 4, 1, 3, 16, 2, 3, 3, 3, 13, 4, 2, 9, 3]"
6,"[14, 11, 0, 3, 6, 5, 4, 7, 2, 2, 19, 2, 0, 4, 3, 4, 5, 8, 2, 6, 6, 5, 4, 4, 17]"
7,"[6, 6, 9, 8, 5, 14, 17, 6, 6, 10, 5, 4, 5, 11, 5]"
8,"[12, 2, 3, 3, 15, 10, 7, 3, 3]"
9,"[21, 15, 4, 17, 12, 5]"
10,"[8, 10, 6, 14, 14, 0, 17, 19, 13, 18, 18, 8, 5, 10, 11]"
11,"[12, 9, 14, 9, 3, 5, 7, 6, 11, 18, 4]"
12,"[12, 17, 18, 3, 18, 11, 11]"
13,"[17, 15, 3, 11, 18, 7, 10, 8, 12, 6]"
14,"[13, 11, 9, 18, 5, 11, 16]"
15,"[11, 12, 16, 8, 12, 12, 16, 3]"
16,"[8, 9, 12, 3, 19, 5, 8]"
17,"[16, 10]"
18,"[14, 11, 9, 5, 13]"
19,"[9, 7, 11, 4, 19, 17]"
20,"[20, 3, 13, 13, 12]"
21,[8]
22,"[18, 17, 21, 19]"
23,"[20, 15, 18, 17]"
24,"[18, 18]"
