Start Position,End Position
1,[]
2,[]
3,[]
4,"[5, 12, 3]"
5,"[13, 19, 8, 3]"
6,"[6, 2, 21, 18, 6]"
7,"[21, 5, 1, 8, 6, 10]"
8,"[9, 19, 9, 8, 14, 19, 11, 3]"
9,"[18, 8, 9, 8, 16, 13, 8, 10]"
10,"[13, 13, 9, 10]"
11,"[9, 8, 4, 11, 16, 18, 9, 18, 10, 8, 7]"
12,"[10, 13, 10, 15, 18, 3, 15, 11, 14, 18, 11, 6]"
13,"[9, 9, 12, 10, 15, 14, 11, 8, 11, 9, 14, 18]"
14,"[12, 15, 2, 14, 11]"
15,"[15, 11, 6, 11, 9, 13, 9, 11]"
16,"[18, 10, 16, 9, 9, 11]"
17,"[14, 10, 8, 18, 8, 11]"
18,"[9, 21, 14, 17]"
19,"[13, 8, 11, 13, 6, 11, 17]"
20,[12]
21,[10]
22,[21]
