Start Position,End Position
1,"[2, 2, 1, 4]"
2,"[18, 1, 6, 0, 1, 2, 4, 2, 0, 3]"
3,"[2, 0, 2, 1, 4, 11, 3, 18, 2, 17, 5]"
4,"[0, 1, 8, 2, 17, 3, 6]"
5,"[3, 17, 0, 2, 11, 20, 4, 3, 7]"
6,"[1, 19, 19, 5, 9, 2, 3, 6, 6, 5]"
7,"[0, 2, 2, 2, 6, 2, 16, 8, 2, 8]"
8,"[2, 5, 1, 15, 13, 13, 17, 17, 5, 14]"
9,"[1, 4, 14, 4, 5, 8, 8, 7, 8, 4, 8]"
10,"[4, 1, 17, 9, 5, 14, 10, 10, 8, 12]"
11,"[0, 13, 11, 6, 16, 7, 11, 19, 19, 19, 19]"
12,"[4, 4, 7, 6, 8, 10, 3, 6, 6, 20, 4, 8, 10, 3, 8]"
13,"[12, 18, 9, 19, 13, 9, 2, 10, 15]"
14,"[4, 7, 12, 19, 16, 11, 17, 10, 6, 19]"
15,"[9, 18, 9]"
16,"[19, 14, 12]"
17,"[6, 20, 17, 11, 16]"
18,"[16, 17, 18]"
19,[19]
20,"[4, 21]"
21,"[13, 17]"
22,[7]
