Start Position,End Position
1,"[0, 1, 0, 4, 0, 0, 1, 0, 1, 18, 0, 2, 0, 12, 0, 3]"
2,"[8, 1, 2, 7, 1, 0, 0, 2, 0, 1, 4]"
3,"[2, 1, 2, 2, 1, 20, 2, 1, 16, 1, 1, 2, 5, 3, 21, 2, 3, 3]"
4,"[7, 7, 3, 3, 4, 8, 4, 5, 13, 5, 3, 3, 4, 5, 7, 6, 3, 14, 3, 2, 6, 3, 1, 4, 2, 4]"
5,"[14, 6, 3, 2, 10, 4, 4, 5, 3, 2, 5, 9, 3, 11, 2, 16, 9]"
6,"[4, 5, 16, 14, 3, 2, 9, 5, 20, 5, 8, 19, 4, 9, 3, 5, 5, 8, 14, 4, 4, 9, 5, 4, 13, 8]"
7,"[18, 6, 9, 5, 8, 14, 4, 4, 5, 8, 21, 7, 7, 6, 5, 16, 5, 7, 5, 18, 7]"
8,"[3, 18, 10, 13, 2, 6, 8, 21, 6, 11, 7, 7, 19, 5, 9]"
9,"[17, 18, 12, 5, 14, 2, 6, 20, 12, 12, 5, 18, 6, 8, 12, 15, 6]"
10,"[8, 10, 13, 9, 4, 10, 1, 6, 5, 19, 21, 9, 12, 8, 8, 10, 9]"
11,"[7, 4, 5, 8, 14, 7, 8, 13, 3, 5, 3, 3, 5, 8, 11, 8]"
12,"[15, 8, 13, 9, 6, 20, 14, 12, 14, 10, 8]"
13,"[13, 11, 7, 18, 15, 11, 7, 11, 6, 17]"
14,"[5, 6, 16, 9, 13, 12, 8, 4, 9, 8, 9]"
15,"[18, 17, 8, 21, 20, 5, 3]"
16,"[4, 8, 12, 12, 11, 9, 8, 16, 14, 7, 6, 7]"
17,"[14, 8, 8, 10]"
18,"[9, 11, 10, 7, 17]"
19,[14]
20,"[18, 8, 18]"
21,"[4, 8, 6, 20]"
22,[5]
23,[]
24,[7]
