Start Position,End Position
1,"[0, 0, 1]"
2,"[3, 3, 4, 2, 3, 2]"
3,"[21, 14, 4, 1, 2]"
4,"[11, 18, 9, 3, 5, 3]"
5,"[2, 5, 4, 3, 5, 5]"
6,"[16, 4, 9, 4, 5, 3, 2, 5, 4]"
7,"[4, 19, 6, 7, 5, 18, 7]"
8,"[2, 21, 2, 16, 12, 0, 7, 2, 7]"
9,"[4, 10, 12, 6, 13, 5, 8, 20, 5, 3, 15]"
10,"[2, 14, 18, 8, 17, 8, 8, 8, 4]"
11,"[20, 4, 10, 5, 7, 5]"
12,"[6, 13, 7, 16, 7, 9, 12, 10, 6, 19, 5, 21, 19]"
13,"[8, 8, 11, 11, 17, 9, 19, 9, 11, 8]"
14,"[8, 9, 21, 12, 18, 9, 8, 8, 8, 11]"
15,"[16, 10, 12, 18, 4, 18, 11, 7, 11, 11]"
16,"[14, 10, 16, 16, 21, 9, 13, 11]"
17,"[12, 3, 6, 14, 12, 18, 6, 11, 13, 17, 14, 12]"
18,"[5, 21, 21, 8, 10, 11, 14, 13, 17, 10]"
19,"[10, 15, 13, 19, 12, 5, 9, 17, 19, 9]"
20,"[5, 19, 17, 16, 15, 16, 13, 15, 16, 13, 13, 15]"
21,[]
22,[21]
