Start Position,End Position
1,[4]
2,"[11, 0, 1, 3]"
3,"[4, 4, 9, 16]"
4,"[7, 5]"
5,"[4, 3, 9, 17, 6]"
6,"[4, 14, 16, 7, 4]"
7,"[6, 7, 5, 6, 8, 15]"
8,"[6, 2, 6, 13]"
9,[7]
10,[3]
11,"[7, 7, 1, 11, 10, 13]"
12,"[8, 19, 4]"
13,"[9, 8, 19, 15]"
14,"[19, 13]"
15,"[12, 5, 17, 22]"
16,"[11, 14, 16, 13, 18]"
17,"[16, 13, 23, 16, 12, 17, 13, 14]"
18,"[15, 10, 15, 16, 19, 17, 18, 15, 20, 17, 13, 17, 22, 16, 12]"
19,"[12, 15, 13, 15, 19, 14, 15, 18, 15, 13, 15, 15, 16, 16, 14, 16]"
20,"[23, 22, 22, 11, 17, 16, 22, 12, 17, 13]"
21,"[14, 13, 12]"
22,"[3, 17]"
23,[]
24,[17]
