Start Position,End Position
1,"[0, 8, 6, 2]"
2,"[14, 21, 4, 5, 8, 1, 4, 7, 3, 15, 1]"
3,"[3, 19, 1, 3, 15, 18, 3]"
4,"[10, 19, 17, 5, 2, 2, 7, 8, 5, 18, 5, 2, 8, 6, 18]"
5,"[20, 21, 7, 4, 17, 4, 16, 21, 7, 3, 17, 6, 2, 9, 5, 4, 3]"
6,"[14, 20, 8, 18, 3, 14, 7, 7, 17, 16, 6, 19, 10, 10, 16, 19, 15, 19, 6]"
7,"[11, 5, 15, 4, 18, 13, 3, 7, 14, 16, 3, 8, 9, 5, 4, 12, 4, 19, 16]"
8,"[14, 15, 3, 7, 8, 12, 14, 4, 15, 4, 12, 8, 6, 5, 20, 12, 9, 10, 7, 7, 9, 12]"
9,"[5, 11, 9, 6, 4, 16, 9, 11, 11, 13, 8, 19, 20, 6, 15, 10, 6]"
10,"[10, 5, 3, 12, 16]"
11,"[5, 3, 13, 6, 15, 15, 7, 13]"
12,"[4, 6, 21, 4, 14, 8, 12]"
13,[12]
14,"[15, 14, 5, 6, 16, 11]"
15,"[12, 18]"
16,"[13, 12, 12]"
17,"[12, 19, 22, 20]"
18,"[12, 12, 16, 16, 21, 18, 17, 12, 13, 17]"
19,"[4, 18, 14, 23, 20, 12, 20, 17, 15, 23, 13, 18, 18]"
20,"[3, 6, 2, 16, 23, 17, 20, 14, 14, 19, 18, 19, 21, 16, 17]"
21,"[15, 22, 22]"
22,"[10, 3]"
