Start Position,End Position
1,[]
2,[]
3,[]
4,"[2, 8]"
5,"[6, 9, 16, 10, 7, 13]"
6,"[6, 4, 12]"
7,"[11, 13, 7, 8, 5, 8, 5, 4]"
8,"[8, 17, 9, 4, 6, 11, 8]"
9,"[9, 10, 10, 5, 6, 7, 12, 10]"
10,"[8, 18, 8]"
11,"[4, 13, 9, 9, 12, 16, 17]"
12,"[8, 17, 7, 6, 14, 7, 19, 8, 12, 7, 17]"
13,"[12, 18, 9, 16, 8, 16]"
14,"[11, 11, 19, 16, 7, 12, 12, 13, 18]"
15,"[12, 14, 9, 17, 12, 12, 16, 11, 18, 12, 14]"
16,"[18, 16, 15, 11, 12, 17, 14, 19, 16, 9, 14, 13]"
17,"[16, 16, 6, 13, 13, 14, 11, 15, 14, 19, 17]"
18,"[11, 13, 21, 11, 11, 16]"
19,"[14, 12, 16, 15]"
20,"[18, 16, 16, 15, 17]"
21,"[11, 16]"
22,"[10, 15, 13]"
