Start Position,End Position
1,"[19, 1, 1, 17, 0, 0, 19, 0, 2, 15, 1, 0, 13, 0, 0, 1, 1, 1]"
2,"[15, 1, 1, 2, 10, 7, 0, 2, 4, 0, 0, 0, 8, 2, 2, 2, 1, 4, 2, 2, 1, 19, 2, 17, 2, 0]"
3,"[2, 19, 1, 1, 19, 2, 2, 2, 18, 0, 1, 1, 2, 0, 17, 3, 14, 2, 2, 2, 3, 2, 2, 4, 2, 8, 19, 13, 4, 2, 1, 2, 2, 2]"
4,"[1, 2, 1, 3, 3, 17, 0, 1, 4, 3, 1, 2, 17, 17, 13, 2, 0, 5, 1, 1, 1, 3, 17, 1, 3, 2, 3, 5, 3, 4, 19, 6, 3, 19, 16, 3, 3, 4, 2, 18]"
5,"[2, 17, 11, 13, 17, 3, 13, 10, 18, 16, 12, 1, 3, 21, 2, 3, 5, 1, 1, 4, 9, 9, 11, 7, 17, 7, 1, 4, 5, 3, 18, 3, 4, 2, 2, 3, 5, 4, 11]"
6,"[19, 18, 2, 14, 16, 1, 8, 21, 4, 5, 2, 8, 2, 0, 4, 1, 6, 11, 6, 11, 3, 5, 3, 5, 3, 5, 1, 2, 16, 2, 8, 15]"
7,"[3, 4, 0, 1, 5, 18, 0, 20, 15, 13, 1, 4, 5, 6, 0, 7, 9, 4]"
8,"[16, 1, 6, 4, 9, 8, 9, 1, 4, 20, 9, 3, 8, 12, 4, 6, 3, 14]"
9,"[7, 3, 9, 6, 6, 6, 2, 4, 15, 7, 18, 1, 4, 7]"
10,"[11, 19, 19, 19, 0, 7, 5, 4, 2, 6, 8, 9, 11, 6, 4, 6, 7]"
11,"[21, 3, 3, 4, 11, 1, 10, 7, 7, 8, 3, 20]"
12,"[18, 20, 5, 2, 9, 7, 5, 10, 6, 7, 17, 14]"
13,"[5, 6, 10, 1, 2, 8, 13, 8, 14, 10, 7]"
14,"[21, 8, 18, 5, 13, 16, 18, 13, 12, 10, 10, 9]"
15,"[9, 2, 8, 12, 11, 19, 12]"
16,"[7, 14, 5, 6, 14, 10, 16, 11, 10, 12, 14, 13]"
17,"[0, 6, 10, 12, 14, 11, 16, 11]"
18,"[21, 15, 8, 13, 10, 18]"
19,"[19, 18, 9, 13, 13, 11]"
20,"[19, 5, 7, 14, 14, 14, 17, 11]"
21,[]
22,"[2, 21]"
