Start Position,End Position
1,[8]
2,[6]
3,[3]
4,[]
5,[3]
6,"[8, 5, 12]"
7,[10]
8,"[2, 2, 9, 8]"
9,"[11, 17, 8, 7, 12, 6]"
10,"[19, 7, 9, 2, 9, 7]"
11,"[10, 5, 10]"
12,"[16, 10, 19, 6, 18, 19, 17, 11, 5]"
13,"[7, 13, 13, 8, 18, 7, 11, 12, 12]"
14,"[14, 16, 13, 10, 12, 7, 19]"
15,"[15, 10, 15, 10, 17, 15, 3, 12, 9]"
16,"[15, 18, 12, 8, 11, 18, 9, 12, 11]"
17,"[14, 8, 13, 16, 16, 11, 15, 8, 12, 18, 13]"
18,"[15, 9, 7, 13, 10, 13, 12, 16, 10]"
19,"[16, 11, 17, 18, 9, 19, 11, 11]"
20,"[15, 13, 16, 13, 12, 13]"
