Start Position,End Position
1,"[0, 0, 2, 0, 0, 18, 0, 18, 0, 4, 2, 11, 0, 1, 11, 0, 18, 0, 1, 2, 2, 0, 0, 23, 20, 19, 2, 3, 4, 0, 2, 19, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 5, 0, 0, 1, 2, 20, 0, 0, 0, 1, 17, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 1, 0, 2, 0, 0]"
2,"[1, 1, 2, 4, 1, 6, 1, 2, 0, 0, 1, 1, 7, 0, 3, 21, 3, 0, 7, 0, 18, 0, 11, 3, 2, 4, 0, 1, 16, 18, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2, 1, 1, 0, 15, 0, 0, 1, 0, 0, 0, 2, 3, 0, 1, 0, 0, 0, 0, 14, 1, 1, 0, 1, 1, 1, 1]"
3,"[12, 1, 0, 2, 13, 1, 18, 0, 1, 3, 4, 4, 9, 3, 4, 19, 5, 0, 2, 8, 2, 0, 3, 0, 0, 1, 0, 6, 2, 2]"
4,"[2, 1, 1, 3, 0, 4, 0, 2, 1, 1, 3, 3, 4, 21, 2, 6, 3, 3, 3, 4, 4, 2, 3, 16, 0]"
5,"[2, 3, 17, 4, 19, 22, 23, 6, 4, 3, 8, 17, 0, 1, 3, 2, 3]"
6,"[1, 3, 0, 0]"
7,"[2, 23, 22, 6]"
8,"[4, 7, 3]"
9,"[4, 5, 5, 4, 4, 1, 2]"
10,"[8, 3, 1, 4, 0]"
11,"[5, 4]"
12,"[6, 18, 8]"
13,"[9, 6]"
14,"[8, 0, 12]"
15,"[6, 9]"
16,[12]
17,[2]
18,"[3, 15]"
19,[11]
20,"[5, 2, 3]"
21,[2]
22,"[2, 6]"
23,[]
24,[7]
