Start Position,End Position
1,[]
2,[]
3,[]
4,[]
5,[]
6,[19]
7,[]
8,[]
9,[18]
10,"[9, 12, 8]"
11,"[12, 17]"
12,"[13, 8, 16, 16, 17]"
13,"[13, 9, 14, 8, 9]"
14,"[14, 11, 16, 17, 14, 14, 10]"
15,"[7, 10, 13, 16, 15, 10, 12, 17]"
16,"[18, 13, 19, 13, 10, 17, 10, 11]"
17,"[16, 12, 9, 10, 13, 11, 15, 11, 10, 15, 12, 18, 8, 12]"
18,"[14, 14, 14, 13, 10, 14, 9, 15]"
19,"[17, 19, 21, 11, 15, 14, 16, 12, 14, 17, 16]"
20,"[19, 19, 19, 17, 16, 18, 20, 15, 14, 15, 11]"
21,"[18, 14]"
22,"[13, 10, 17, 16, 18, 14, 13, 20, 19, 17, 14]"
