Start Position,End Position
1,"[0, 1, 0, 0, 2, 1, 3, 2, 2, 0, 1, 1, 1]"
2,"[19, 5, 20, 9, 0, 8, 7, 23, 0, 0, 1, 23, 1, 2, 2, 3, 0, 0, 8, 2, 19, 5, 2, 2]"
3,"[8, 5, 19, 4, 2, 19, 7, 1, 1, 2, 1, 1, 4, 3, 3, 1, 3, 22, 3, 6, 4]"
4,"[15, 8, 18, 1, 16, 5, 5, 2, 2, 3, 3, 6, 2, 1, 14, 19, 1]"
5,"[15, 5, 20, 19, 5, 2, 2, 7, 19, 3, 1, 3]"
6,"[6, 10, 17, 18, 20, 8, 2, 6, 6, 5, 7, 4, 3, 3]"
7,"[16, 19, 3, 5, 17, 12, 6, 19, 9, 4, 7, 4, 10, 6, 4]"
8,"[12, 16, 18, 8, 12, 4, 7]"
9,"[16, 5, 11, 7, 12, 3, 9, 6, 8, 3, 8, 8]"
10,"[9, 6, 5, 17, 9, 11, 19, 3]"
11,"[5, 13, 10, 6, 15, 5, 9, 9, 17, 10, 8, 14, 20, 21, 8, 6, 10, 7, 19]"
12,"[6, 8, 8, 11, 16, 18, 21, 8, 5]"
13,"[17, 7, 20]"
14,"[16, 17, 7, 6, 18, 4, 13, 7, 18, 11, 17, 11]"
15,[]
16,"[15, 6, 11, 13]"
17,"[6, 21]"
18,"[4, 7, 18, 10, 2]"
19,"[10, 10, 15, 19, 15, 9, 19, 9, 20, 16, 3]"
20,"[10, 14, 19]"
21,"[14, 11, 10, 18]"
22,[19]
