Start Position,End Position
1,"[1, 0, 0, 1, 0, 0, 0, 19, 0, 0, 17, 0, 0, 0]"
2,"[10, 18, 0, 1, 0, 0, 0, 1, 19, 2, 1, 5, 1, 0, 1, 1, 18, 17]"
3,"[1, 1, 1, 3, 0, 2, 2, 3, 2, 1, 1, 2, 18, 1, 2, 16, 1, 18, 0, 1, 17, 9, 0, 1]"
4,"[0, 4, 2, 5, 19, 2, 4, 3, 1, 4, 5, 1, 0, 3, 2, 3, 2, 3, 4, 2, 5, 0, 0]"
5,"[9, 3, 4, 18, 17, 17, 19, 4, 18, 4, 15, 2, 14, 4, 1, 3, 3, 19, 19, 16]"
6,"[6, 10, 3, 17, 4, 2]"
7,"[7, 6, 4, 18, 2, 1, 1]"
8,"[7, 3, 8, 1]"
9,"[17, 3, 9, 9, 7, 18, 7, 4, 3]"
10,[5]
11,"[12, 15]"
12,[]
13,"[16, 15, 9]"
14,[]
15,"[17, 18]"
16,"[2, 3]"
17,[8]
18,"[7, 1]"
19,"[14, 4, 7]"
20,"[11, 8, 1]"
21,[17]
