Start Position,End Position
1,"[4, 11, 0, 15, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
2,"[0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 1, 4, 0, 0, 0, 1, 16, 1, 0, 0, 2, 0, 19, 23]"
3,"[0, 0, 0, 3, 0, 1, 1, 0, 5, 0, 2, 1, 2, 1, 1, 9, 6, 6]"
4,"[19, 1, 18, 14, 10, 0, 19, 5]"
5,"[2, 2, 3, 0, 4, 1, 3, 21, 15]"
6,"[6, 0, 9, 17, 19, 0, 3, 18]"
7,"[13, 0, 3, 5, 9, 11]"
8,"[7, 14, 6, 20, 6, 22, 11, 3, 16, 4, 22, 5, 6, 23]"
9,"[5, 9, 12, 3, 21, 21, 20]"
10,"[4, 16, 3, 8, 5, 5, 7, 14, 12]"
11,"[8, 8, 20, 8, 4]"
12,"[8, 23, 2]"
13,"[6, 1, 10, 8, 6, 10, 6]"
14,"[7, 6, 5, 10, 7, 21]"
15,[14]
16,[]
17,[23]
18,[6]
19,"[17, 16]"
20,[11]
21,[6]
22,"[4, 9]"
23,[10]
24,[4]
