Start Position,End Position
1,[1]
2,[2]
3,"[7, 3, 1, 4]"
4,"[14, 15, 5, 3, 5]"
5,"[15, 13, 3, 3, 17, 13, 1, 5, 1, 1]"
6,"[8, 5, 7, 1, 17, 3, 4, 5, 3, 2]"
7,"[20, 5, 4, 9, 11, 14, 18, 10, 14, 5, 4]"
8,"[10, 3, 8, 7, 3, 6, 16, 6, 1, 8, 9, 4]"
9,"[2, 5, 5, 13, 6, 6, 7, 5, 8, 4, 5, 4, 10, 6, 19, 9]"
10,"[3, 5, 16, 8, 18, 5, 6, 5, 8, 2, 11, 7, 16, 2, 4, 1]"
11,"[16, 19, 9, 8, 8, 14, 7, 12, 11, 10, 9, 10, 7, 23]"
12,"[6, 6, 19, 14, 5, 13, 3]"
13,"[14, 11, 4, 9, 14, 9, 6, 6, 8]"
14,"[19, 17, 9, 10, 12, 13, 11, 18, 17, 10, 22]"
15,"[9, 9, 12, 9, 15, 17, 17, 11, 14, 18, 12, 6, 18, 9, 14, 10, 6, 16, 7]"
16,"[11, 8, 17, 21, 16, 8, 16, 11, 11, 10, 12, 18, 8, 10, 11, 7]"
17,"[17, 7, 6, 15, 9]"
18,"[7, 9, 14, 17, 16, 13]"
19,"[18, 15, 20, 20]"
20,"[12, 7, 13, 18]"
21,[19]
22,[18]
23,[]
24,[7]
