Start Position,End Position
1,[7]
2,[18]
3,"[4, 6]"
4,"[8, 5, 7]"
5,"[9, 13, 5, 5, 5, 6, 5]"
6,"[7, 4, 18, 13, 4, 9]"
7,"[3, 5, 18, 6, 4, 7, 6, 3, 21, 6, 11, 8, 5, 13, 18, 9, 5, 6, 5, 5, 6, 4, 5, 5, 6]"
8,"[21, 6, 4, 5, 5, 12, 14, 6, 6, 20, 7, 6, 7, 15, 19, 8]"
9,"[13, 19, 21, 20, 6, 19, 6, 6, 7, 9, 9, 7, 15, 11]"
10,"[12, 5, 7, 10, 23, 9, 9, 7, 9, 8, 6, 6, 19, 7, 19, 9, 19, 9]"
11,"[23, 9, 3, 13, 21, 10, 12, 8, 4, 4, 4, 10, 19, 19, 19, 19, 10, 12, 16, 7, 5, 6, 12, 11, 8]"
12,"[12, 7, 7, 10, 7, 5, 8, 16, 8, 11, 7, 9]"
13,"[13, 15, 9, 11, 9, 11, 11, 8, 7, 15, 6, 13, 5, 14, 20, 5, 16, 11, 18, 7, 14, 19]"
14,"[11, 11, 9, 12, 17]"
15,"[21, 15, 6, 14, 13, 12, 9]"
16,"[14, 8, 14, 19, 19, 18]"
17,"[16, 9, 11, 14, 16, 16, 11]"
18,"[9, 19, 19]"
19,[]
20,"[13, 12, 7]"
21,[]
22,[]
23,[]
24,[20]
