Start Position,End Position
1,"[0, 8, 5, 0, 1, 0, 1, 17, 0, 3, 1, 1, 1, 0, 13, 0, 1, 17, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0]"
2,"[2, 1, 0, 3, 1, 4, 1, 1, 20, 1, 1, 1, 0, 1, 0, 1, 7, 1, 0, 0, 21, 6, 4, 2, 0, 2, 1, 1, 1, 1]"
3,"[20, 10, 4, 2, 0, 1, 0, 2, 2]"
4,"[6, 7, 2, 4, 18, 4, 18, 3, 6, 1, 16]"
5,"[11, 5, 9, 13, 6, 3, 4, 2, 22, 5, 4, 5]"
6,"[20, 18, 15, 5, 4, 6, 4, 21, 16, 10, 6, 6, 6, 5, 6, 19, 3, 5, 7, 3, 3]"
7,"[9, 2, 14, 4, 4, 4, 15, 4, 4, 18, 6, 10, 6, 8, 6, 7, 5, 5, 11, 12, 22]"
8,"[18, 6, 5, 7, 1, 12]"
9,"[8, 7, 8, 7, 4, 8, 7, 3, 11, 5, 22, 22, 14]"
10,"[9, 9, 3, 7, 5, 4, 10]"
11,"[5, 19, 7, 14, 8]"
12,"[6, 8, 21, 6, 9, 8]"
13,"[10, 10, 21, 9, 5, 9, 23]"
14,"[20, 21, 17, 15, 13, 14, 5]"
15,"[10, 15, 13, 11, 10, 3]"
16,"[17, 13]"
17,"[11, 12]"
18,"[17, 8, 11, 15]"
19,"[13, 15]"
20,[]
21,"[8, 9]"
22,[6]
23,"[9, 10]"
