Start Position,End Position
1,[0]
2,[21]
3,"[11, 4]"
4,[]
5,[14]
6,"[19, 6]"
7,"[13, 15, 18]"
8,"[17, 12, 12, 19]"
9,"[14, 15, 8, 14]"
10,"[8, 6, 19]"
11,"[18, 17, 7]"
12,"[18, 7, 15, 18, 7]"
13,"[13, 10, 21, 7, 15, 11, 10, 19]"
14,"[16, 10, 13, 13, 13, 10, 16, 13, 6]"
15,"[21, 17, 13, 10, 9, 15, 21, 18, 10]"
16,"[21, 21, 18, 19, 15, 20, 13, 11, 14]"
17,"[17, 15, 20, 10, 13, 16, 16, 13, 18, 20]"
18,"[23, 22, 14, 10, 12, 11, 11, 11, 11]"
19,[]
20,"[16, 12]"
21,"[9, 22, 16, 17]"
22,"[12, 10, 13, 14, 15]"
23,[13]
24,[22]
