Start Position,End Position
1,"[1, 3, 1, 0, 1, 7]"
2,"[13, 0, 3, 0, 6, 19, 3, 3, 2, 3, 15, 3, 1]"
3,"[4, 0, 18, 5, 15, 1, 2, 10, 2, 19, 0, 6]"
4,"[4, 3, 2, 0, 2, 6, 7, 4, 8, 6, 3]"
5,"[16, 3, 17, 4, 17, 18, 10, 4, 15, 10, 18, 6, 17, 4, 2, 6, 3, 5]"
6,"[2, 16, 6, 5, 14, 3, 2, 8, 19, 5, 19, 19]"
7,"[3, 2, 4, 18, 4, 20, 19]"
8,"[15, 3, 18, 7, 9, 8]"
9,"[13, 7, 18, 11, 5, 2, 7, 14, 15]"
10,"[14, 16, 5, 10, 5, 7, 13, 7, 9]"
11,"[2, 5, 6, 9]"
12,"[13, 9, 5, 21]"
13,[14]
14,"[6, 16, 11]"
15,"[11, 6, 15, 10]"
16,"[17, 11]"
17,"[3, 13, 15]"
18,"[5, 7, 14]"
19,[13]
20,"[11, 15]"
21,[]
22,[7]
