Start Position,End Position
1,[]
2,[2]
3,"[20, 3, 5, 20, 2, 1]"
4,"[23, 19, 18, 2]"
5,"[2, 7, 9, 3, 6, 7]"
6,"[23, 8, 21, 3, 21, 19, 5, 15, 5, 5, 17, 6]"
7,"[2, 1, 6, 18, 7, 10, 21, 8, 9, 12]"
8,"[23, 6, 6, 9, 13, 6, 18, 6, 16, 7, 15, 14, 18, 7, 19]"
9,"[5, 18, 14, 2, 4, 7, 10, 19, 12]"
10,"[5, 20, 10, 6, 6, 12, 17, 12, 16, 17, 10, 9, 10, 14]"
11,"[8, 5, 2, 11, 7, 12, 13, 12, 6, 14, 19, 15]"
12,"[14, 17, 9, 20, 13]"
13,"[12, 16, 7, 6, 19, 8, 9, 15, 15]"
14,"[14, 7, 14, 20, 20, 16, 8, 18, 17, 13, 10, 9, 9, 18, 17, 13, 18]"
15,"[10, 19, 16, 11, 7, 12, 8, 14, 14, 14, 15, 11]"
16,"[11, 12, 14, 10, 12, 12, 10, 12, 19, 11, 16, 8, 13]"
17,"[15, 2, 15, 10, 9, 10, 15, 18, 14, 17]"
18,"[19, 20, 12, 8, 14, 15, 16, 15, 16]"
19,"[17, 17, 17, 5, 10, 18, 19]"
20,"[12, 21, 14, 14, 11, 12]"
21,[]
22,"[12, 15, 13, 19]"
