Start Position,End Position
1,"[19, 14, 1, 0, 10, 0, 0, 1, 0, 0, 2, 7]"
2,"[16, 2, 1, 1, 1, 19, 1, 0, 1, 19, 2, 19, 1, 1, 2, 1, 1, 2, 5]"
3,"[2, 1, 2, 2, 1, 13, 2, 18, 3, 1, 2, 17, 2, 3, 9, 3, 5, 1, 1, 18, 0]"
4,"[1, 14, 3, 3, 1, 3, 2, 16, 2, 1, 4, 4, 0, 0, 5, 4, 5, 3, 6, 3]"
5,"[3, 16, 4, 14, 6, 1, 2, 4, 2, 18, 1, 8, 6, 6, 3, 6, 0]"
6,"[1, 20, 2, 2, 1, 2, 2, 14, 9, 17, 4, 6, 5, 13]"
7,"[7, 1, 2, 11, 2, 1, 9, 11, 11, 23, 8, 11]"
8,"[2, 20, 6, 11, 5, 11, 4, 7, 4, 11]"
9,"[16, 5, 10, 18, 9, 6, 5, 17, 3]"
10,"[17, 2, 7, 5, 9, 6]"
11,"[1, 9, 15, 15, 9, 11, 13, 14, 8]"
12,"[13, 4, 9, 9, 10, 13, 9, 9, 12, 13]"
13,"[19, 7, 11, 10, 10, 11, 11, 16]"
14,"[8, 10, 12, 5, 22, 15]"
15,"[18, 9, 12, 20, 14, 13, 21, 12, 12, 12, 14]"
16,"[8, 6, 10, 14, 2, 18, 16, 8]"
17,"[12, 9, 15, 12, 8, 17]"
18,"[0, 17, 17, 18, 11]"
19,"[15, 16]"
20,"[8, 2, 9, 13]"
21,[]
22,"[10, 16]"
23,[]
24,[11]
