Start Position,End Position
1,"[0, 0, 2, 0, 0, 3, 16, 5, 0, 6, 2, 2, 0, 16, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 23, 1, 0, 3, 20, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 17, 3, 0, 7, 3, 0, 17, 1, 1]"
2,"[3, 16, 3, 0, 2, 3, 1, 0, 0, 1, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2, 4, 6, 0, 4, 0, 1, 1, 0, 3, 1, 1, 18, 1, 0, 1, 0, 0, 3, 5, 4, 3, 1, 19, 16]"
3,"[13, 1, 0, 1, 21, 3, 3, 0, 3, 1, 20, 4, 2, 4, 2, 2, 1, 3, 0, 1, 17, 2, 2, 20, 1, 1, 2, 0, 6, 2, 0, 3, 4, 2, 2, 1, 3, 2, 2, 3, 0, 17]"
4,"[17, 1, 19, 14, 2, 5, 19, 1, 2, 2, 1, 1, 3, 5, 3, 1, 1, 1, 12, 4]"
5,"[10, 21, 3, 21, 4, 2, 3, 2, 5, 4]"
6,"[5, 4, 8, 3, 1, 3, 4, 2, 2, 4, 3, 3, 2, 2, 15]"
7,"[7, 3, 5, 19, 4, 4]"
8,"[18, 18, 2, 5, 11, 5, 4, 18]"
9,"[20, 7, 5, 7, 3, 3, 2, 20, 3, 6, 10]"
10,"[4, 1, 5, 7, 19, 9, 12, 1, 11, 17, 9]"
11,"[19, 4, 8, 9, 11, 6, 10, 2, 12, 1, 16, 11]"
12,"[11, 18, 20, 8]"
13,"[17, 14, 2, 11, 13, 14, 12, 7]"
14,"[16, 12, 9, 12, 11, 11]"
15,"[17, 3, 3, 3, 9, 12, 10]"
16,"[17, 20]"
17,"[3, 19, 15, 18]"
18,"[18, 21, 6, 4, 9]"
19,"[21, 4, 7]"
20,"[15, 7, 3, 1, 14]"
21,[]
22,[4]
23,[]
24,[2]
