Start Position,End Position
1,[3]
2,[10]
3,"[1, 5, 2, 1, 1]"
4,"[20, 2, 4, 4, 4, 6, 4, 9, 3, 3, 2, 3, 16, 2, 3, 14, 17]"
5,"[19, 21, 4, 6, 8, 5, 6, 17, 0, 17]"
6,"[8, 4, 14, 8, 5, 0, 2]"
7,"[15, 6, 10, 6, 5, 2, 10, 2, 2, 5, 12, 6, 6, 15, 5, 4, 18]"
8,"[10, 10, 23, 8, 11, 8, 7, 7, 8, 3, 4, 16, 6, 11, 2, 9, 19, 9, 4, 4, 8]"
9,"[19, 1, 8, 8, 4, 11, 7, 12, 6, 9, 3, 5, 5, 7, 6, 11, 6, 3, 3]"
10,"[14, 9, 20, 9, 6, 10, 5, 6, 8, 13, 6, 9, 12, 6]"
11,"[9, 10, 14, 14, 8, 9, 16, 6, 7, 8, 12, 9, 7, 6, 6, 5, 4, 3]"
12,"[16, 8, 6, 1, 10, 23, 10, 5, 10, 18, 9, 9, 4, 10, 15, 9, 9, 7]"
13,"[6, 19, 7, 10, 10, 7, 8, 18, 6, 10, 7, 17, 17, 10]"
14,"[13, 9, 7, 21, 9, 12, 7, 7, 9, 11]"
15,"[13, 10, 16, 2, 8, 21, 10, 10, 5, 6, 10, 8, 6, 14, 11, 16, 18, 8]"
16,"[20, 10, 10, 8, 16, 11, 10]"
17,"[7, 15, 12, 5, 7, 8, 5]"
18,"[14, 12, 15, 6, 13, 6]"
19,"[5, 19]"
20,"[9, 9, 15, 7]"
21,[]
22,[7]
23,[10]
