Start Position,End Position
1,[]
2,[6]
3,[2]
4,[]
5,[1]
6,"[9, 1]"
7,"[3, 9]"
8,"[10, 18, 8]"
9,[10]
10,"[20, 11, 5]"
11,"[3, 19]"
12,"[11, 6]"
13,"[8, 6, 8, 7, 5, 13]"
14,[10]
15,[12]
16,"[10, 14, 10, 22]"
17,"[14, 14, 19]"
18,"[10, 15, 16, 15]"
19,"[4, 6, 19, 23, 17, 18, 16, 17, 18, 13, 16, 18]"
20,"[9, 8, 20, 17, 18, 22, 15, 16, 13, 16, 18, 17, 14, 11, 17]"
21,"[14, 17, 19, 21, 16, 15, 23, 20, 14, 23, 19, 17, 17, 20, 19, 13, 15]"
22,"[17, 18, 13, 20, 14, 22, 21, 20]"
23,"[17, 18]"
24,"[16, 23, 23]"
