Start Position,End Position
1,"[2, 0, 1, 0, 18, 1, 1, 0, 1, 1, 0, 0, 2, 18, 1, 7, 2, 0, 14, 2]"
2,"[2, 1, 3, 1, 1, 1, 6, 1, 4, 1, 4, 0, 2, 1, 7, 2, 10, 2, 1, 4, 1, 1, 7, 1, 19, 2]"
3,"[13, 7, 7, 3, 5, 2, 4, 2, 8, 4, 11, 2, 5, 0, 16, 3, 1, 2, 4, 4, 1, 1, 13, 4, 4, 2, 14, 1, 0, 0, 2, 2, 18, 3, 2, 2]"
4,"[4, 6, 9, 3, 2, 4, 1, 1, 3, 2, 3, 1, 2, 1, 19, 1]"
5,"[5, 3, 9, 5, 4, 4, 4, 4, 2, 1]"
6,"[2, 4, 12, 3, 2, 12, 8, 13, 2, 3, 3, 2, 19, 5, 5]"
7,"[6, 4, 4, 4, 2, 8, 8, 4]"
8,"[10, 4, 5, 7, 15, 7, 17, 14]"
9,"[7, 1, 13, 5]"
10,"[11, 8, 19, 11]"
11,"[4, 9, 10, 20]"
12,[7]
13,"[16, 20, 15, 11]"
14,"[11, 1]"
15,"[13, 15, 14, 5, 7]"
16,"[13, 12, 15, 11, 19, 12, 13, 18, 7, 4]"
17,"[15, 11, 3]"
18,"[10, 14, 7]"
19,[2]
20,"[14, 3]"
